,median,lower,upper,cases,one,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5,hl4.0
2020-05-23,1.2424849699398797,1.122244488977956,1.342685370741483,2665.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-24,1.2625250501002003,1.1422845691382766,1.3627254509018036,2783.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-25,1.2024048096192383,1.1022044088176353,1.3226452905811623,2819.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-26,1.1422845691382766,1.0420841683366733,1.2625250501002003,2904.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-27,1.1422845691382766,1.0420841683366733,1.2625250501002003,3032.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-28,1.1623246492985972,1.062124248496994,1.2625250501002003,3093.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-29,1.1422845691382766,1.0420841683366733,1.2424849699398797,3150.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-30,1.062124248496994,0.9619238476953907,1.1623246492985972,3141.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-31,1.062124248496994,0.9418837675350701,1.1623246492985972,3190.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-01,1.0220440881763526,0.9218436873747494,1.122244488977956,3194.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-02,1.0420841683366733,0.9418837675350701,1.1422845691382766,3207.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-03,1.0420841683366733,0.9418837675350701,1.1422845691382766,3263.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-04,1.122244488977956,1.0220440881763526,1.222444889779559,3422.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-05,1.222444889779559,1.122244488977956,1.3226452905811623,3624.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-06,1.2625250501002003,1.1623246492985972,1.342685370741483,3782.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-07,1.2024048096192383,1.1022044088176353,1.3026052104208417,3862.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-08,1.1022044088176353,1.0220440881763526,1.2024048096192383,3864.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-09,1.0220440881763526,0.9218436873747494,1.122244488977956,3834.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-10,1.0220440881763526,0.9218436873747494,1.1022044088176353,3893.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-11,1.0420841683366733,0.9418837675350701,1.1422845691382766,3960.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-12,1.1422845691382766,1.0420841683366733,1.222444889779559,4140.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-13,1.1422845691382766,1.062124248496994,1.2424849699398797,4241.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-14,1.1623246492985972,1.0821643286573146,1.2625250501002003,4354.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-15,1.0821643286573146,1.002004008016032,1.1823647294589177,4366.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-16,1.0420841683366733,0.9418837675350701,1.122244488977956,4326.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-17,0.9819639278557114,0.8817635270541082,1.062124248496994,4285.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-18,1.002004008016032,0.9218436873747494,1.1022044088176353,4389.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-19,1.062124248496994,0.9619238476953907,1.1422845691382766,4474.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-20,1.1623246492985972,1.062124248496994,1.2424849699398797,4694.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-21,1.1823647294589177,1.1022044088176353,1.2625250501002003,4883.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-22,1.2024048096192383,1.122244488977956,1.282565130260521,5019.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-23,1.1623246492985972,1.0821643286573146,1.2424849699398797,5175.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-24,1.122244488977956,1.0420841683366733,1.2024048096192383,5245.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-25,1.1022044088176353,1.0220440881763526,1.1823647294589177,5338.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-26,1.0821643286573146,1.002004008016032,1.1623246492985972,5448.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-27,1.062124248496994,0.9819639278557114,1.1422845691382766,5449.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-28,0.9819639278557114,0.9018036072144289,1.062124248496994,5291.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-29,0.8817635270541082,0.8016032064128256,0.9619238476953907,5100.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-30,0.8216432865731462,0.7414829659318637,0.9018036072144289,4892.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-01,0.8416833667334669,0.7615230460921844,0.9218436873747494,4850.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-02,0.9418837675350701,0.8617234468937875,1.0220440881763526,4949.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-03,1.122244488977956,1.0420841683366733,1.2024048096192383,5224.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-04,1.2625250501002003,1.1823647294589177,1.342685370741483,5658.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-05,1.3026052104208417,1.222444889779559,1.3827655310621243,5875.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-06,1.2424849699398797,1.1623246492985972,1.3026052104208417,5997.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-07,1.1022044088176353,1.0220440881763526,1.1823647294589177,6008.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-08,1.062124248496994,0.9819639278557114,1.122244488977956,6063.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-09,1.0420841683366733,0.9619238476953907,1.1022044088176353,6115.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-10,1.062124248496994,0.9819639278557114,1.1422845691382766,6215.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
