,median,lower,upper,cases,one,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5,hl4.0
2020-06-14,1.002004008016032,0.9218436873747494,1.062124248496994,8730.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-15,0.9819639278557114,0.9218436873747494,1.0420841683366733,8667.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-16,0.9819639278557114,0.9218436873747494,1.0420841683366733,8622.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-17,0.9619238476953907,0.9018036072144289,1.0220440881763526,8526.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-18,0.9418837675350701,0.8817635270541082,1.002004008016032,8363.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-19,0.9218436873747494,0.8416833667334669,0.9819639278557114,8202.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-20,0.9018036072144289,0.8416833667334669,0.9619238476953907,8070.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-21,0.9018036072144289,0.8416833667334669,0.9819639278557114,7935.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-22,0.9218436873747494,0.8617234468937875,0.9819639278557114,7853.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-23,0.9218436873747494,0.8617234468937875,1.002004008016032,7754.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-24,0.9418837675350701,0.8817635270541082,1.002004008016032,7661.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-25,0.9218436873747494,0.8617234468937875,1.002004008016032,7550.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-26,0.9218436873747494,0.8416833667334669,0.9819639278557114,7382.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-27,0.9018036072144289,0.8216432865731462,0.9619238476953907,7227.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-28,0.8817635270541082,0.8216432865731462,0.9619238476953907,7086.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-29,0.9018036072144289,0.8216432865731462,0.9619238476953907,6957.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-30,0.9018036072144289,0.8416833667334669,0.9819639278557114,6856.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-01,0.9218436873747494,0.8416833667334669,0.9819639278557114,6773.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-02,0.9418837675350701,0.8617234468937875,1.002004008016032,6722.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-03,0.9619238476953907,0.8817635270541082,1.0220440881763526,6705.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-04,0.9819639278557114,0.9018036072144289,1.0420841683366733,6679.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-05,0.9819639278557114,0.9218436873747494,1.062124248496994,6673.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-06,0.9819639278557114,0.9218436873747494,1.062124248496994,6663.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-07,0.9819639278557114,0.9218436873747494,1.062124248496994,6628.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-08,0.9819639278557114,0.9218436873747494,1.062124248496994,6611.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-09,0.9819639278557114,0.9018036072144289,1.0420841683366733,6569.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-10,0.9819639278557114,0.9018036072144289,1.0420841683366733,6549.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-11,0.9819639278557114,0.9018036072144289,1.062124248496994,6541.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-12,0.9819639278557114,0.9218436873747494,1.062124248496994,6534.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-13,1.002004008016032,0.9218436873747494,1.062124248496994,6538.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-14,1.002004008016032,0.9218436873747494,1.062124248496994,6526.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-15,0.9819639278557114,0.9218436873747494,1.062124248496994,6502.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-16,0.9819639278557114,0.9018036072144289,1.062124248496994,6477.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-17,0.9819639278557114,0.9018036072144289,1.0420841683366733,6439.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-18,0.9619238476953907,0.9018036072144289,1.0420841683366733,6392.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-19,0.9619238476953907,0.8817635270541082,1.0420841683366733,6333.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-20,0.9418837675350701,0.8817635270541082,1.0220440881763526,6258.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-21,0.9418837675350701,0.8617234468937875,1.0220440881763526,6188.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-22,0.9418837675350701,0.8617234468937875,1.002004008016032,6095.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-23,0.9218436873747494,0.8617234468937875,1.002004008016032,6002.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-24,0.9218436873747494,0.8416833667334669,1.002004008016032,5917.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-25,0.9418837675350701,0.8617234468937875,1.002004008016032,5865.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-26,0.9418837675350701,0.8617234468937875,1.0220440881763526,5823.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-27,0.9619238476953907,0.8817635270541082,1.0420841683366733,5788.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-28,0.9619238476953907,0.8817635270541082,1.0420841683366733,5730.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-29,0.9619238476953907,0.8817635270541082,1.0220440881763526,5667.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-30,0.9418837675350701,0.8617234468937875,1.0220440881763526,5606.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-07-31,0.9418837675350701,0.8617234468937875,1.0220440881763526,5552.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-01,0.9418837675350701,0.8617234468937875,1.0220440881763526,5497.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-02,0.9619238476953907,0.8817635270541082,1.0220440881763526,5456.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-03,0.9619238476953907,0.8817635270541082,1.0420841683366733,5430.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-04,0.9619238476953907,0.8817635270541082,1.0420841683366733,5396.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-05,0.9619238476953907,0.8817635270541082,1.0420841683366733,5353.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-06,0.9619238476953907,0.8817635270541082,1.0420841683366733,5309.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-07,0.9619238476953907,0.8817635270541082,1.0420841683366733,5266.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-08,0.9619238476953907,0.8817635270541082,1.0420841683366733,5231.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-09,0.9619238476953907,0.8817635270541082,1.0420841683366733,5202.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-10,0.9619238476953907,0.8817635270541082,1.0420841683366733,5173.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-11,0.9619238476953907,0.8817635270541082,1.0420841683366733,5143.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-12,0.9619238476953907,0.8817635270541082,1.0420841683366733,5114.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-13,0.9619238476953907,0.8817635270541082,1.0420841683366733,5078.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-14,0.9619238476953907,0.8817635270541082,1.0420841683366733,5049.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-15,0.9619238476953907,0.8817635270541082,1.062124248496994,5028.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-16,0.9819639278557114,0.8817635270541082,1.062124248496994,5003.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-17,0.9819639278557114,0.9018036072144289,1.062124248496994,4977.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-18,0.9819639278557114,0.8817635270541082,1.062124248496994,4949.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-19,0.9619238476953907,0.8817635270541082,1.0420841683366733,4905.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-20,0.9619238476953907,0.8817635270541082,1.0420841683366733,4862.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-21,0.9619238476953907,0.8817635270541082,1.0420841683366733,4830.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-22,0.9619238476953907,0.8817635270541082,1.0420841683366733,4808.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-23,0.9819639278557114,0.9018036072144289,1.062124248496994,4800.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-24,0.9819639278557114,0.9018036072144289,1.062124248496994,4789.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-25,0.9819639278557114,0.9018036072144289,1.0821643286573146,4778.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-26,0.9819639278557114,0.9018036072144289,1.062124248496994,4753.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-27,0.9819639278557114,0.9018036072144289,1.062124248496994,4730.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-28,0.9819639278557114,0.8817635270541082,1.062124248496994,4711.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-29,0.9819639278557114,0.9018036072144289,1.062124248496994,4708.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-30,1.002004008016032,0.9218436873747494,1.0821643286573146,4727.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-08-31,1.0220440881763526,0.9418837675350701,1.1022044088176353,4767.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-09-01,1.0220440881763526,0.9418837675350701,1.122244488977956,4787.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-09-02,1.0420841683366733,0.9418837675350701,1.122244488977956,4818.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-09-03,1.0220440881763526,0.9418837675350701,1.122244488977956,4849.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-09-04,1.0420841683366733,0.9418837675350701,1.122244488977956,4883.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-09-05,1.0420841683366733,0.9619238476953907,1.122244488977956,4923.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-09-06,1.0420841683366733,0.9619238476953907,1.122244488977956,4962.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-09-07,1.0420841683366733,0.9619238476953907,1.122244488977956,5003.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-09-08,1.0420841683366733,0.9619238476953907,1.122244488977956,5052.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-09-09,1.0420841683366733,0.9619238476953907,1.122244488977956,5084.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-09-10,1.0420841683366733,0.9619238476953907,1.122244488977956,5122.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-09-11,1.0420841683366733,0.9619238476953907,1.122244488977956,5167.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-09-12,1.0420841683366733,0.9619238476953907,1.122244488977956,5212.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-09-13,1.0420841683366733,0.9619238476953907,1.122244488977956,5262.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-09-14,1.0420841683366733,0.9619238476953907,1.122244488977956,5313.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-09-15,1.0420841683366733,0.9619238476953907,1.122244488977956,5367.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-09-16,1.0420841683366733,0.9619238476953907,1.122244488977956,5417.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-09-17,1.0420841683366733,0.9619238476953907,1.122244488977956,5463.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-09-18,1.0420841683366733,0.9619238476953907,1.122244488977956,5519.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-09-19,1.062124248496994,0.9819639278557114,1.1422845691382766,5601.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-09-20,1.0821643286573146,1.002004008016032,1.1422845691382766,5702.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-09-21,1.0821643286573146,1.002004008016032,1.1623246492985972,5805.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-09-22,1.0821643286573146,1.0220440881763526,1.1623246492985972,5904.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-09-23,1.0821643286573146,1.0220440881763526,1.1623246492985972,6003.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-09-24,1.0821643286573146,1.0220440881763526,1.1623246492985972,6113.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-09-25,1.1022044088176353,1.0220440881763526,1.1823647294589177,6277.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-09-26,1.1422845691382766,1.062124248496994,1.2024048096192383,6481.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-09-27,1.1623246492985972,1.1022044088176353,1.2424849699398797,6736.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
