,median,lower,upper,cases,one,hl-0.5,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5,hl4.0
2020-05-04,0.781563126252505,0.6412825651302605,0.9218436873747494,1809.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-05,0.6813627254509018,0.5410821643286573,0.8216432865731462,1659.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-06,0.6412825651302605,0.501002004008016,0.781563126252505,1540.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-07,0.6212424849699398,0.4609218436873747,0.7615230460921844,1449.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-08,0.6613226452905812,0.501002004008016,0.8216432865731462,1365.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-09,0.6813627254509018,0.5210420841683366,0.8416833667334669,1284.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-10,0.7014028056112224,0.5410821643286573,0.8617234468937875,1223.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-11,0.7014028056112224,0.5410821643286573,0.8817635270541082,1153.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-12,0.8016032064128256,0.6212424849699398,0.9619238476953907,1146.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-13,0.7615230460921844,0.6012024048096192,0.9418837675350701,1070.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-14,0.781563126252505,0.6012024048096192,0.9619238476953907,1019.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-15,0.7014028056112224,0.5210420841683366,0.8817635270541082,967.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-16,0.781563126252505,0.6012024048096192,0.9619238476953907,946.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-17,0.8216432865731462,0.6412825651302605,1.0220440881763526,922.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-18,0.8016032064128256,0.6012024048096192,1.002004008016032,864.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-19,0.6613226452905812,0.4609218436873747,0.8617234468937875,779.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-20,0.6212424849699398,0.4008016032064128,0.8216432865731462,739.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-21,0.6212424849699398,0.4008016032064128,0.8216432865731462,694.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-22,0.7414829659318637,0.5210420841683366,0.9619238476953907,675.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-23,0.781563126252505,0.561122244488978,1.0220440881763526,655.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-24,0.8617234468937875,0.6412825651302605,1.1022044088176353,643.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-25,0.8416833667334669,0.6212424849699398,1.0821643286573146,618.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-26,0.721442885771543,0.48096192384769537,0.9619238476953907,558.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-27,0.6613226452905812,0.42084168336673344,0.9218436873747494,531.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-05-28,0.6813627254509018,0.42084168336673344,0.9218436873747494,515.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
