,median,lower,upper,cases,one,hl-0.5,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5,hl4.0,hl4.5
2020-05-29,1.3026052104208417,1.0420841683366733,1.5430861723446894,608.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-30,1.3627254509018036,1.122244488977956,1.6032064128256511,638.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-05-31,1.2625250501002003,1.0220440881763526,1.4829659318637274,642.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-01,1.062124248496994,0.8416833667334669,1.3026052104208417,633.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-02,0.9619238476953907,0.7414829659318637,1.2024048096192383,628.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-03,1.0220440881763526,0.8016032064128256,1.2625250501002003,654.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-04,1.2024048096192383,0.9619238476953907,1.4228456913827654,707.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-05,1.4028056112224447,1.1823647294589177,1.6232464929859718,789.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-06,1.4829659318637274,1.282565130260521,1.7034068136272544,868.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-07,1.4028056112224447,1.2024048096192383,1.6032064128256511,900.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-08,1.1823647294589177,0.9819639278557114,1.3827655310621243,882.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-09,0.9819639278557114,0.781563126252505,1.1623246492985972,855.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-10,0.9619238476953907,0.7615230460921844,1.1623246492985972,878.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-11,1.0821643286573146,0.8817635270541082,1.282565130260521,921.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-12,1.2424849699398797,1.062124248496994,1.442885771543086,986.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-13,1.342685370741483,1.1422845691382766,1.5230460921843687,1064.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-14,1.2625250501002003,1.0821643286573146,1.4629258517034067,1081.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-15,1.1022044088176353,0.9218436873747494,1.282565130260521,1054.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-16,0.9418837675350701,0.7615230460921844,1.122244488977956,1033.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-17,0.8817635270541082,0.7014028056112224,1.062124248496994,1010.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-18,0.9819639278557114,0.8016032064128256,1.1623246492985972,1043.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-19,1.0821643286573146,0.8817635270541082,1.2625250501002003,1077.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-20,1.122244488977956,0.9418837675350701,1.3026052104208417,1090.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-21,1.062124248496994,0.8817635270541082,1.2424849699398797,1081.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-22,0.9418837675350701,0.7615230460921844,1.122244488977956,1041.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-23,0.8416833667334669,0.6613226452905812,1.0220440881763526,994.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-24,0.8617234468937875,0.6813627254509018,1.0420841683366733,999.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-25,0.9418837675350701,0.7615230460921844,1.1422845691382766,1013.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-26,1.122244488977956,0.9418837675350701,1.3226452905811623,1071.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-27,1.2024048096192383,1.0220440881763526,1.3827655310621243,1123.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-28,1.1823647294589177,1.002004008016032,1.3627254509018036,1126.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-29,0.9819639278557114,0.8016032064128256,1.1623246492985972,1063.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-30,0.721442885771543,0.5410821643286573,0.9018036072144289,950.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-01,0.4408817635270541,0.2605210420841683,0.6412825651302605,811.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-02,0.3607214428857715,0.16032064128256512,0.561122244488978,734.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-03,0.42084168336673344,0.2004008016032064,0.6412825651302605,686.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-04,0.6212424849699398,0.3807615230460922,0.8416833667334669,652.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-05,0.721442885771543,0.48096192384769537,0.9418837675350701,626.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-06,0.6212424849699398,0.3807615230460922,0.8617234468937875,550.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-07,0.4408817635270541,0.2004008016032064,0.7014028056112224,467.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-08,0.32064128256513025,0.06012024048096192,0.5811623246492986,426.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-09,0.3406813627254509,0.08016032064128256,0.6212424849699398,379.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-10,0.501002004008016,0.2004008016032064,0.8016032064128256,350.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-11,0.6412825651302605,0.3406813627254509,0.9619238476953907,351.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-12,0.7615230460921844,0.4408817635270541,1.0821643286573146,331.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-13,0.8016032064128256,0.48096192384769537,1.122244488977956,311.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-14,0.7014028056112224,0.3807615230460922,1.0420841683366733,297.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-15,0.6012024048096192,0.2605210420841683,0.9418837675350701,263.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-16,0.6613226452905812,0.3006012024048096,1.002004008016032,255.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-17,0.7014028056112224,0.32064128256513025,1.062124248496994,251.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-18,0.9018036072144289,0.5210420841683366,1.2625250501002003,248.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-19,0.9619238476953907,0.5811623246492986,1.3226452905811623,249.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-20,0.9018036072144289,0.5210420841683366,1.2625250501002003,236.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-21,0.7615230460921844,0.3607214428857715,1.1422845691382766,215.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-22,0.6813627254509018,0.280561122244489,1.0821643286573146,208.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-23,0.7414829659318637,0.32064128256513025,1.1422845691382766,204.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-24,0.9218436873747494,0.501002004008016,1.3226452905811623,206.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-25,0.9819639278557114,0.5811623246492986,1.4028056112224447,207.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-26,0.9619238476953907,0.561122244488978,1.3827655310621243,201.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-27,0.8016032064128256,0.3807615230460922,1.222444889779559,184.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-28,0.721442885771543,0.3006012024048096,1.1422845691382766,177.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-29,0.7414829659318637,0.3006012024048096,1.1823647294589177,174.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-30,1.0420841683366733,0.5811623246492986,1.4629258517034067,188.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-31,1.2424849699398797,0.8016032064128256,1.6633266533066131,202.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-01,1.5230460921843687,1.1022044088176353,1.9238476953907815,233.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-02,1.4028056112224447,1.002004008016032,1.8036072144288577,239.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-03,1.282565130260521,0.9018036072144289,1.6633266533066131,241.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-04,1.0220440881763526,0.6212424849699398,1.3827655310621243,235.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-05,1.0420841683366733,0.6613226452905812,1.4228456913827654,245.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-06,1.1422845691382766,0.7615230460921844,1.503006012024048,260.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-07,1.342685370741483,0.9819639278557114,1.7034068136272544,287.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-08,1.3627254509018036,1.002004008016032,1.7034068136272544,301.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-09,1.282565130260521,0.9418837675350701,1.6232464929859718,308.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-10,1.062124248496994,0.721442885771543,1.4028056112224447,299.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-11,0.9418837675350701,0.6012024048096192,1.282565130260521,291.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-12,0.8817635270541082,0.5410821643286573,1.222444889779559,288.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-13,0.9619238476953907,0.6212424849699398,1.3026052104208417,293.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-14,1.0821643286573146,0.721442885771543,1.4228456913827654,304.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-15,1.1422845691382766,0.8016032064128256,1.4829659318637274,314.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
