,median,lower,upper,cases,one,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5,hl4.0,hl4.5
2020-06-07,1.3827655310621243,1.062124248496994,1.6833667334669338,386.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-08,1.5430861723446894,1.2424849699398797,1.8436873747494988,429.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-09,1.5430861723446894,1.2625250501002003,1.8236472945891782,465.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-10,1.342685370741483,1.062124248496994,1.6032064128256511,471.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-11,1.122244488977956,0.8617234468937875,1.4028056112224447,464.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-12,0.9418837675350701,0.6613226452905812,1.2024048096192383,448.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-13,0.8016032064128256,0.5210420841683366,1.0821643286573146,420.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-14,0.721442885771543,0.42084168336673344,1.002004008016032,393.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-15,0.6813627254509018,0.3807615230460922,0.9819639278557114,375.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-16,0.8216432865731462,0.5210420841683366,1.122244488977956,381.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-17,1.062124248496994,0.7615230460921844,1.3627254509018036,406.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-18,1.122244488977956,0.8416833667334669,1.4228456913827654,405.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-19,1.062124248496994,0.7615230460921844,1.3627254509018036,396.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-20,0.8817635270541082,0.5811623246492986,1.1623246492985972,378.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-21,0.8216432865731462,0.501002004008016,1.122244488977956,364.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-22,0.7615230460921844,0.4408817635270541,1.062124248496994,345.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-23,0.7414829659318637,0.42084168336673344,1.062124248496994,326.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-24,0.6813627254509018,0.3607214428857715,1.002004008016032,303.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-25,0.7615230460921844,0.42084168336673344,1.0821643286573146,301.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-26,0.8416833667334669,0.48096192384769537,1.1623246492985972,297.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-27,0.9619238476953907,0.6212424849699398,1.3026052104208417,298.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-28,0.9018036072144289,0.561122244488978,1.2424849699398797,286.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-29,0.8817635270541082,0.5210420841683366,1.222444889779559,277.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-06-30,0.8016032064128256,0.4408817635270541,1.1623246492985972,267.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-01,0.9018036072144289,0.5410821643286573,1.2625250501002003,272.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-02,1.0220440881763526,0.6613226452905812,1.3827655310621243,282.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-03,1.122244488977956,0.7615230460921844,1.4629258517034067,287.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-04,1.122244488977956,0.781563126252505,1.4629258517034067,293.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-05,1.1022044088176353,0.7615230460921844,1.442885771543086,300.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-06,1.0220440881763526,0.6813627254509018,1.3627254509018036,292.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-07,0.9418837675350701,0.6012024048096192,1.282565130260521,285.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-08,0.8016032064128256,0.4408817635270541,1.1422845691382766,268.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-09,0.7615230460921844,0.4008016032064128,1.122244488977956,255.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-10,0.8016032064128256,0.4408817635270541,1.1623246492985972,256.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-11,0.9218436873747494,0.561122244488978,1.282565130260521,257.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-12,1.1422845691382766,0.7615230460921844,1.503006012024048,276.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-13,1.222444889779559,0.8617234468937875,1.56312625250501,290.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-14,1.2424849699398797,0.8817635270541082,1.5831663326653307,295.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-15,1.122244488977956,0.7615230460921844,1.4629258517034067,296.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-16,1.062124248496994,0.721442885771543,1.4028056112224447,301.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-17,1.0821643286573146,0.7414829659318637,1.4228456913827654,309.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-18,1.1022044088176353,0.7615230460921844,1.4228456913827654,313.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-19,1.0821643286573146,0.7414829659318637,1.4028056112224447,316.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-20,1.062124248496994,0.721442885771543,1.3827655310621243,319.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-21,1.1022044088176353,0.781563126252505,1.442885771543086,334.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-22,1.1623246492985972,0.8216432865731462,1.4829659318637274,346.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-23,1.2024048096192383,0.8817635270541082,1.503006012024048,357.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-24,1.1823647294589177,0.8817635270541082,1.503006012024048,373.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-25,1.282565130260521,0.9819639278557114,1.5831663326653307,406.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-26,1.3026052104208417,1.0220440881763526,1.6032064128256511,427.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-27,1.282565130260521,0.9819639278557114,1.56312625250501,440.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-28,1.1823647294589177,0.9018036072144289,1.4629258517034067,451.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-29,1.1422845691382766,0.8617234468937875,1.4228456913827654,464.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-30,1.1623246492985972,0.8817635270541082,1.442885771543086,484.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-07-31,1.2024048096192383,0.9418837675350701,1.4829659318637274,509.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-01,1.2424849699398797,0.9619238476953907,1.4829659318637274,531.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-02,1.2424849699398797,0.9819639278557114,1.503006012024048,558.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-03,1.2625250501002003,1.002004008016032,1.503006012024048,589.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-04,1.2424849699398797,0.9819639278557114,1.4829659318637274,609.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-05,1.1823647294589177,0.9418837675350701,1.4228456913827654,621.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-06,1.122244488977956,0.8817635270541082,1.3627254509018036,633.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-07,1.122244488977956,0.8817635270541082,1.3627254509018036,655.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-08,1.1823647294589177,0.9418837675350701,1.4028056112224447,687.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-09,1.2024048096192383,0.9619238476953907,1.4228456913827654,709.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-10,1.1623246492985972,0.9218436873747494,1.3827655310621243,717.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-11,1.0420841683366733,0.8016032064128256,1.2625250501002003,701.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-12,0.9619238476953907,0.7414829659318637,1.1823647294589177,696.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-13,0.9418837675350701,0.721442885771543,1.1623246492985972,694.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-14,0.9819639278557114,0.7615230460921844,1.2024048096192383,697.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
2020-08-15,1.0220440881763526,0.8016032064128256,1.2424849699398797,703.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0,4.5
