,median,lower,upper,cases,one,hl-1.0,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0
2020-04-10,1.0420841683366733,0.9619238476953907,1.122244488977956,4796.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-11,1.002004008016032,0.9218436873747494,1.0821643286573146,4758.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-12,0.9418837675350701,0.8617234468937875,1.0420841683366733,4657.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-13,0.8617234468937875,0.781563126252505,0.9418837675350701,4429.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-14,0.8016032064128256,0.7014028056112224,0.8817635270541082,4233.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-15,0.8216432865731462,0.721442885771543,0.9018036072144289,4203.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-16,0.9418837675350701,0.8617234468937875,1.0420841683366733,4299.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-17,1.1022044088176353,1.002004008016032,1.1823647294589177,4465.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-18,1.1823647294589177,1.1022044088176353,1.2625250501002003,4670.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-19,1.1623246492985972,1.0821643286573146,1.2625250501002003,4741.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-20,1.122244488977956,1.0420841683366733,1.2024048096192383,4782.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-21,1.0420841683366733,0.9619238476953907,1.122244488977956,4779.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-22,1.0220440881763526,0.9418837675350701,1.1022044088176353,4791.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-23,1.002004008016032,0.9218436873747494,1.0821643286573146,4801.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-24,1.0220440881763526,0.9418837675350701,1.1022044088176353,4856.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-25,1.002004008016032,0.9218436873747494,1.0821643286573146,4805.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-26,0.9819639278557114,0.8817635270541082,1.062124248496994,4728.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-27,0.9218436873747494,0.8216432865731462,1.002004008016032,4621.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-28,0.9018036072144289,0.8216432865731462,0.9819639278557114,4534.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-29,0.9218436873747494,0.8216432865731462,1.002004008016032,4503.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-04-30,0.9619238476953907,0.8817635270541082,1.062124248496994,4534.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-01,1.0220440881763526,0.9418837675350701,1.1022044088176353,4598.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-02,1.0420841683366733,0.9418837675350701,1.122244488977956,4598.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-03,0.9819639278557114,0.9018036072144289,1.062124248496994,4490.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-04,0.8617234468937875,0.7615230460921844,0.9418837675350701,4232.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-05,0.7615230460921844,0.6613226452905812,0.8416833667334669,3986.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-06,0.6813627254509018,0.5811623246492986,0.781563126252505,3735.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-07,0.721442885771543,0.6212424849699398,0.8016032064128256,3593.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-08,0.7414829659318637,0.6613226452905812,0.8416833667334669,3458.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-09,0.8216432865731462,0.721442885771543,0.9218436873747494,3357.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-10,0.8216432865731462,0.721442885771543,0.9218436873747494,3228.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-11,0.8416833667334669,0.7414829659318637,0.9418837675350701,3154.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-12,0.8416833667334669,0.7414829659318637,0.9418837675350701,3069.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-13,0.8817635270541082,0.781563126252505,0.9819639278557114,3014.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-14,0.8817635270541082,0.781563126252505,0.9819639278557114,2944.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-05-15,0.9218436873747494,0.8016032064128256,1.0220440881763526,2927.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
