,median,lower,upper,cases,one,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5
2020-07-28,0.9418837675350701,0.9218436873747494,0.9619238476953907,65022.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-29,0.9418837675350701,0.9218436873747494,0.9619238476953907,64353.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-30,0.9619238476953907,0.9418837675350701,0.9819639278557114,64184.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-31,0.9819639278557114,0.9619238476953907,1.002004008016032,64018.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-01,0.9819639278557114,0.9619238476953907,1.002004008016032,63905.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-02,0.9819639278557114,0.9619238476953907,1.002004008016032,63171.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-03,0.9218436873747494,0.9018036072144289,0.9418837675350701,61044.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-04,0.8617234468937875,0.8416833667334669,0.8817635270541082,58662.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-05,0.781563126252505,0.7615230460921844,0.8016032064128256,55749.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-06,0.8016032064128256,0.781563126252505,0.8216432865731462,54362.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-07,0.8416833667334669,0.8216432865731462,0.8617234468937875,53726.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-08,0.9418837675350701,0.9218436873747494,0.9819639278557114,54173.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-09,1.002004008016032,0.9819639278557114,1.0220440881763526,54552.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-10,1.0220440881763526,1.002004008016032,1.062124248496994,54691.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-11,0.9619238476953907,0.9418837675350701,0.9819639278557114,53105.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-12,0.9418837675350701,0.9218436873747494,0.9619238476953907,52729.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-13,0.9018036072144289,0.8817635270541082,0.9218436873747494,51572.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-14,0.9819639278557114,0.9418837675350701,1.002004008016032,52302.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-15,0.9819639278557114,0.9619238476953907,1.002004008016032,52155.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-16,1.0220440881763526,0.9819639278557114,1.0420841683366733,51966.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-17,0.9218436873747494,0.9018036072144289,0.9619238476953907,50170.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-18,0.8817635270541082,0.8617234468937875,0.9218436873747494,48892.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-19,0.8216432865731462,0.8016032064128256,0.8416833667334669,46842.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-20,0.8216432865731462,0.8016032064128256,0.8416833667334669,45321.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-21,0.8016032064128256,0.781563126252505,0.8216432865731462,43722.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-22,0.8817635270541082,0.8617234468937875,0.9018036072144289,43866.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-23,0.9218436873747494,0.9018036072144289,0.9619238476953907,43490.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-24,0.9819639278557114,0.9619238476953907,1.0220440881763526,43381.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-25,0.9218436873747494,0.9018036072144289,0.9619238476953907,42057.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-26,0.9018036072144289,0.8817635270541082,0.9418837675350701,41248.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-27,0.9018036072144289,0.8817635270541082,0.9418837675350701,41170.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-28,0.9619238476953907,0.9418837675350701,0.9819639278557114,41211.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-29,1.0420841683366733,1.002004008016032,1.062124248496994,42111.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-30,1.062124248496994,1.0420841683366733,1.0821643286573146,42709.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
