,median,lower,upper,cases,one,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5
2020-06-16,1.4028056112224447,1.2424849699398797,1.5831663326653307,1329.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-17,1.3627254509018036,1.2024048096192383,1.5230460921843687,1410.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-18,1.2625250501002003,1.122244488977956,1.4228456913827654,1452.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-19,1.1422845691382766,0.9819639278557114,1.3026052104208417,1444.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-20,0.9819639278557114,0.8416833667334669,1.1422845691382766,1402.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-21,0.8617234468937875,0.7014028056112224,1.0220440881763526,1344.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-22,0.8016032064128256,0.6412825651302605,0.9619238476953907,1288.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-23,0.8016032064128256,0.6412825651302605,0.9619238476953907,1257.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-24,0.8817635270541082,0.721442885771543,1.062124248496994,1262.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-25,1.002004008016032,0.8416833667334669,1.1623246492985972,1289.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-26,1.0821643286573146,0.9218436873747494,1.2424849699398797,1323.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-27,1.122244488977956,0.9619238476953907,1.282565130260521,1352.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-28,1.122244488977956,0.9619238476953907,1.282565130260521,1378.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-29,1.0821643286573146,0.9218436873747494,1.2424849699398797,1394.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-06-30,1.0420841683366733,0.8817635270541082,1.2024048096192383,1390.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-01,0.9619238476953907,0.8016032064128256,1.122244488977956,1352.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-02,0.9018036072144289,0.7414829659318637,1.062124248496994,1314.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-03,0.8617234468937875,0.7014028056112224,1.0220440881763526,1279.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-04,0.8617234468937875,0.6813627254509018,1.0220440881763526,1244.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-05,0.8617234468937875,0.6813627254509018,1.0220440881763526,1211.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-06,0.8416833667334669,0.6813627254509018,1.0220440881763526,1174.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-07,0.8617234468937875,0.6813627254509018,1.0220440881763526,1144.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-08,0.8617234468937875,0.6813627254509018,1.0420841683366733,1121.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-09,0.8817635270541082,0.7014028056112224,1.062124248496994,1097.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-10,0.8817635270541082,0.7014028056112224,1.062124248496994,1071.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-11,0.8817635270541082,0.7014028056112224,1.062124248496994,1050.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-12,0.9018036072144289,0.7014028056112224,1.0821643286573146,1032.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-13,0.9218436873747494,0.7414829659318637,1.1022044088176353,1021.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-14,0.9418837675350701,0.7615230460921844,1.122244488977956,1013.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-15,0.9418837675350701,0.7615230460921844,1.122244488977956,1002.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-16,0.9418837675350701,0.7615230460921844,1.122244488977956,990.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-17,0.9418837675350701,0.7414829659318637,1.122244488977956,977.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-18,0.9218436873747494,0.7414829659318637,1.122244488977956,962.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-19,0.9218436873747494,0.7414829659318637,1.1022044088176353,947.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-20,0.9218436873747494,0.7414829659318637,1.122244488977956,936.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-21,0.9418837675350701,0.7414829659318637,1.122244488977956,928.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-22,0.9619238476953907,0.7615230460921844,1.1422845691382766,924.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-23,0.9619238476953907,0.781563126252505,1.1623246492985972,921.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-24,0.9819639278557114,0.781563126252505,1.1823647294589177,921.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-25,1.002004008016032,0.8016032064128256,1.1823647294589177,921.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-26,1.002004008016032,0.8016032064128256,1.2024048096192383,922.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-27,1.002004008016032,0.8016032064128256,1.1823647294589177,921.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-28,1.002004008016032,0.8216432865731462,1.2024048096192383,926.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-29,1.0220440881763526,0.8216432865731462,1.2024048096192383,931.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-30,1.0220440881763526,0.8416833667334669,1.222444889779559,938.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-07-31,1.0420841683366733,0.8416833667334669,1.222444889779559,945.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-01,1.0420841683366733,0.8617234468937875,1.2424849699398797,956.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-02,1.0420841683366733,0.8617234468937875,1.2424849699398797,966.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-03,1.062124248496994,0.8617234468937875,1.2424849699398797,976.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-04,1.062124248496994,0.8817635270541082,1.2424849699398797,991.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-05,1.1022044088176353,0.9018036072144289,1.282565130260521,1021.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-06,1.122244488977956,0.9418837675350701,1.3026052104208417,1049.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-07,1.1422845691382766,0.9619238476953907,1.3226452905811623,1082.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-08,1.1422845691382766,0.9619238476953907,1.3226452905811623,1112.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-09,1.1422845691382766,0.9619238476953907,1.3226452905811623,1142.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-10,1.122244488977956,0.9619238476953907,1.3026052104208417,1166.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-11,1.1022044088176353,0.9218436873747494,1.2625250501002003,1178.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-12,1.062124248496994,0.8817635270541082,1.222444889779559,1183.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
2020-08-13,1.0420841683366733,0.8617234468937875,1.2024048096192383,1194.0,1,0.0,0.5,1.5,2.0,2.5,3.0,3.5
