,median,lower,upper,cases,one,hl-1.0,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0
2020-06-21,1.222444889779559,0.3607214428857715,2.0440881763527052,48.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-22,1.062124248496994,0.24048096192384769,1.8837675350701402,48.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-23,0.9218436873747494,0.16032064128256512,1.7434869739478958,47.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-24,0.8216432865731462,0.1002004008016032,1.6633266533066131,43.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-25,0.7414829659318637,0.08016032064128256,1.6032064128256511,41.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-26,0.7414829659318637,0.06012024048096192,1.6032064128256511,40.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-27,0.9619238476953907,0.1402805611222445,1.8436873747494988,42.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-28,1.1623246492985972,0.280561122244489,2.024048096192385,45.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-29,1.1823647294589177,0.32064128256513025,2.0440881763527052,45.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-30,1.1422845691382766,0.280561122244489,2.004008016032064,46.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-01,1.1422845691382766,0.3006012024048096,1.9839679358717435,49.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-02,1.2024048096192383,0.3607214428857715,2.024048096192385,51.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-03,1.2424849699398797,0.4008016032064128,2.0440881763527052,53.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-04,1.1623246492985972,0.3406813627254509,1.9438877755511021,54.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-05,1.122244488977956,0.32064128256513025,1.9038076152304608,55.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-06,1.0821643286573146,0.3006012024048096,1.8637274549098195,56.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
