,median,lower,upper,cases,one,hl-2.0,hl0.0,hl2.0,hl4.0,hl6.0,hl8.0,hl10.0,hl12.0
2020-04-22,0.8617234468937875,0.08016032064128256,1.8837675350701402,27.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-23,0.721442885771543,0.04008016032064128,1.7434869739478958,24.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-24,0.9018036072144289,0.08016032064128256,1.9839679358717435,27.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-25,0.9018036072144289,0.08016032064128256,1.9839679358717435,25.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-26,0.9619238476953907,0.08016032064128256,2.064128256513026,23.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-27,0.7014028056112224,0.04008016032064128,1.783567134268537,21.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-28,0.6813627254509018,0.04008016032064128,1.8036072144288577,19.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-29,0.6813627254509018,0.04008016032064128,1.8236472945891782,17.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-04-30,0.6212424849699398,0.02004008016032064,1.783567134268537,14.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-01,0.42084168336673344,0.0,1.5430861723446894,8.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-02,0.48096192384769537,0.02004008016032064,1.7034068136272544,8.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-03,0.561122244488978,0.02004008016032064,1.9438877755511021,7.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-04,1.2024048096192383,0.06012024048096192,3.0260521042084165,8.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-05,1.062124248496994,0.06012024048096192,2.8657314629258517,7.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-06,1.0821643286573146,0.06012024048096192,2.905811623246493,6.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-07,0.9619238476953907,0.04008016032064128,2.785571142284569,6.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-08,1.1022044088176353,0.06012024048096192,3.0260521042084165,6.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
2020-05-09,1.122244488977956,0.06012024048096192,3.0861723446893787,5.0,1,-2.0,0.0,2.0,4.0,6.0,8.0,10.0,12.0
