,median,lower,upper,cases,one,hl-0.5,hl0.0,hl0.5,hl1.5,hl2.0,hl2.5,hl3.0,hl3.5,hl4.0
2020-06-11,0.8617234468937875,0.501002004008016,1.2024048096192383,280.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-12,1.1022044088176353,0.7414829659318637,1.442885771543086,306.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-13,1.3226452905811623,0.9819639278557114,1.6633266533066131,329.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-14,1.4028056112224447,1.062124248496994,1.723446893787575,353.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-15,1.2625250501002003,0.9418837675350701,1.5831663326653307,359.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-16,1.1022044088176353,0.781563126252505,1.4028056112224447,348.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-17,0.9218436873747494,0.6012024048096192,1.222444889779559,337.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-18,0.9218436873747494,0.6012024048096192,1.222444889779559,342.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-19,0.9018036072144289,0.5811623246492986,1.222444889779559,329.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-20,1.002004008016032,0.6813627254509018,1.3226452905811623,337.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
2020-06-21,1.0420841683366733,0.7014028056112224,1.342685370741483,349.0,1,-0.5,0.0,0.5,1.5,2.0,2.5,3.0,3.5,4.0
