,median,lower,upper,cases,one,hl-1.0,hl0.0,hl2.0,hl3.0,hl4.0,hl5.0
2020-06-09,0.9218436873747494,0.6813627254509018,1.1422845691382766,592.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-10,0.9418837675350701,0.7014028056112224,1.1823647294589177,588.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-11,0.9018036072144289,0.6412825651302605,1.1422845691382766,566.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-12,0.8817635270541082,0.6212424849699398,1.122244488977956,551.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-13,0.8216432865731462,0.5811623246492986,1.0821643286573146,534.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-14,0.8016032064128256,0.5410821643286573,1.062124248496994,505.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-15,0.721442885771543,0.4609218436873747,0.9819639278557114,470.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-16,0.6613226452905812,0.3807615230460922,0.9218436873747494,438.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-17,0.6012024048096192,0.32064128256513025,0.8817635270541082,403.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-18,0.6613226452905812,0.3607214428857715,0.9418837675350701,386.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-19,0.7014028056112224,0.4008016032064128,1.002004008016032,372.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-20,0.8216432865731462,0.5210420841683366,1.122244488977956,365.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-21,0.9619238476953907,0.6412825651302605,1.2625250501002003,377.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-22,1.0420841683366733,0.7414829659318637,1.342685370741483,383.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-23,1.1022044088176353,0.8016032064128256,1.4028056112224447,387.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-24,1.062124248496994,0.7615230460921844,1.3627254509018036,393.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-25,1.062124248496994,0.7615230460921844,1.3627254509018036,399.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-26,1.0821643286573146,0.781563126252505,1.3627254509018036,404.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-27,1.062124248496994,0.7615230460921844,1.342685370741483,407.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-28,1.062124248496994,0.7615230460921844,1.342685370741483,412.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-29,1.062124248496994,0.781563126252505,1.3627254509018036,420.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-06-30,1.062124248496994,0.781563126252505,1.3627254509018036,424.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-01,1.0220440881763526,0.7414829659318637,1.3226452905811623,420.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-02,0.9819639278557114,0.7014028056112224,1.282565130260521,418.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-03,1.0821643286573146,0.8016032064128256,1.3627254509018036,445.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-04,1.2625250501002003,0.9819639278557114,1.5430861723446894,486.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-05,1.4028056112224447,1.1422845691382766,1.6633266533066131,528.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-06,1.3827655310621243,1.122244488977956,1.6432865731462925,556.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-07,1.3026052104208417,1.0420841683366733,1.5430861723446894,580.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-08,1.1823647294589177,0.9218436873747494,1.4228456913827654,585.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-09,1.0821643286573146,0.8416833667334669,1.3226452905811623,585.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-10,0.9218436873747494,0.6613226452905812,1.1623246492985972,551.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-11,0.7615230460921844,0.5210420841683366,1.0220440881763526,510.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-12,0.6412825651302605,0.3807615230460922,0.9018036072144289,475.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-13,0.6412825651302605,0.3807615230460922,0.9018036072144289,450.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-14,0.6813627254509018,0.4008016032064128,0.9619238476953907,426.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-15,0.7014028056112224,0.4008016032064128,0.9819639278557114,399.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-16,0.6412825651302605,0.3406813627254509,0.9218436873747494,364.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-17,0.6012024048096192,0.280561122244489,0.9018036072144289,338.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-18,0.6012024048096192,0.280561122244489,0.9218436873747494,320.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-19,0.6412825651302605,0.3006012024048096,0.9619238476953907,296.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-20,0.6813627254509018,0.3406813627254509,1.0220440881763526,283.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-21,0.721442885771543,0.3607214428857715,1.062124248496994,273.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-22,0.8216432865731462,0.48096192384769537,1.1823647294589177,269.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-23,0.8817635270541082,0.5210420841683366,1.2424849699398797,265.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-24,0.9218436873747494,0.561122244488978,1.282565130260521,261.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-25,0.9619238476953907,0.6012024048096192,1.3226452905811623,264.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-26,1.1022044088176353,0.7414829659318637,1.442885771543086,280.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-27,1.1422845691382766,0.781563126252505,1.4829659318637274,283.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-28,1.1823647294589177,0.8216432865731462,1.5230460921843687,293.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-29,1.1823647294589177,0.8416833667334669,1.5230460921843687,312.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-30,1.222444889779559,0.8817635270541082,1.5430861723446894,322.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-07-31,1.1823647294589177,0.8416833667334669,1.503006012024048,326.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-01,1.0220440881763526,0.7014028056112224,1.3627254509018036,318.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-02,0.9018036072144289,0.561122244488978,1.222444889779559,303.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-03,0.7615230460921844,0.42084168336673344,1.1022044088176353,285.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-04,0.6212424849699398,0.280561122244489,0.9819639278557114,256.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-05,0.5811623246492986,0.2004008016032064,0.9418837675350701,237.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-06,0.5811623246492986,0.2004008016032064,0.9619238476953907,226.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-07,0.721442885771543,0.32064128256513025,1.1022044088176353,219.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-08,0.8617234468937875,0.4609218436873747,1.2625250501002003,220.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-09,0.9619238476953907,0.561122244488978,1.342685370741483,221.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-10,1.0220440881763526,0.6212424849699398,1.4228456913827654,223.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-11,1.062124248496994,0.6613226452905812,1.442885771543086,228.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-12,1.0420841683366733,0.6412825651302605,1.4228456913827654,227.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-13,1.0821643286573146,0.6813627254509018,1.4629258517034067,233.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-14,1.1422845691382766,0.7414829659318637,1.5230460921843687,247.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-15,1.222444889779559,0.8416833667334669,1.5831663326653307,258.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-16,1.2024048096192383,0.8216432865731462,1.56312625250501,262.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-17,1.122244488977956,0.7615230460921844,1.4829659318637274,267.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-18,1.1022044088176353,0.7414829659318637,1.4629258517034067,275.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-19,1.2024048096192383,0.8416833667334669,1.56312625250501,295.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-20,1.3226452905811623,0.9819639278557114,1.6633266533066131,320.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-21,1.3627254509018036,1.0220440881763526,1.6833667334669338,340.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-22,1.3827655310621243,1.062124248496994,1.7034068136272544,368.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-23,1.3627254509018036,1.0420841683366733,1.6633266533066131,394.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-24,1.2625250501002003,0.9619238476953907,1.56312625250501,399.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-25,1.0821643286573146,0.8016032064128256,1.3827655310621243,389.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-26,0.9218436873747494,0.6212424849699398,1.222444889779559,378.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-27,0.9018036072144289,0.6012024048096192,1.2024048096192383,378.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-28,0.9619238476953907,0.6613226452905812,1.2625250501002003,381.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-29,1.0420841683366733,0.7414829659318637,1.342685370741483,388.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-30,1.062124248496994,0.7615230460921844,1.3627254509018036,392.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-08-31,1.1823647294589177,0.8817635270541082,1.4629258517034067,421.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-09-01,1.2424849699398797,0.9619238476953907,1.5430861723446894,448.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-09-02,1.3827655310621243,1.1022044088176353,1.6633266533066131,489.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-09-03,1.3627254509018036,1.1022044088176353,1.6232464929859718,520.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-09-04,1.3827655310621243,1.122244488977956,1.6432865731462925,559.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-09-05,1.3627254509018036,1.1022044088176353,1.6032064128256511,601.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
2020-09-06,1.3026052104208417,1.062124248496994,1.5430861723446894,622.0,1,-1.0,0.0,2.0,3.0,4.0,5.0
